StockCode,mean_weekly_sales,median_weekly_sales,total_sales,mean_txn_size,std_weekly_sales,cv,spike_ratio,pct_zero_weeks,avg_idi_days,longest_zero_streak,q4_pct,q1_pct,peak_month,seasonal_conc,trend_slope,trend_log_diff,mean_price,std_price,n_unique_customers,pct_repeat_customers,n_countries,top_country_pct,cancel_rate,log_mean_weekly_sales,log_mean_price,is_sporadic,is_croston,is_active
10002,84.66170731707317,36.974999999999994,6942.259999999999,18.916239782016348,135.27309176282537,1.597807273791486,9.650171557965274,0.14634146341463414,0.9836065573770492,9,0.2836064912578901,0.19114236574256802,5,0.10259217122265728,-1.2918736191377977,-0.428206250708163,0.9791553133514984,0.3082492344937023,164,0.45695364238410596,12,0.8310626702997275,0.11290205103369493,4.450405903310957,0.6826701442643222,False,False,True
10002R,0.25085365853658537,0.0,20.57,6.8566666666666665,1.3792467090744218,5.498212452314175,41.219251336898395,0.9634146341463414,27.0,73,0.7540106951871658,0.2459893048128342,12,0.6290428665389345,-0.016802712203828868,0.0,5.133333333333333,0.06350852961085902,0,,1,1.0,0.0,0.2238262450550665,1.8137383759468302,True,False,False
10080,0.3734146341463414,0.0,30.619999999999997,3.8274999999999997,2.1685446103759554,5.807336970961083,50.131939908556504,0.926829268292683,61.1694444444443,33,0.1387981711299804,0.05551926845199216,6,0.4184619539318274,0.0144863464698904,1.3849014332887664,0.7925,0.1626345596729059,6,0.25,1,1.0,0.0,0.3173000725622193,0.5836112934916383,True,False,False
10109,0.02048780487804878,0.0,1.68,1.68,0.18552496380574213,9.055385138137414,82.0,0.9878048780487805,,78,1.0,0.0,12,1.0,-0.0014810461357625624,0.0,0.42,,1,0.0,1,1.0,0.0,0.020280753052359657,0.35065687161316933,True,False,False
10120,1.446219512195122,0.0,118.59,2.1561818181818184,3.2985992688419574,2.2808427358549666,14.520617252719452,0.6341463414634146,9.333333333333334,9,0.5072097141411586,0.29977232481659494,12,0.14723143804247227,-0.033801221144741565,-0.9642184850340665,0.2500000000000001,0.0856348838577675,39,0.11363636363636363,2,0.9636363636363636,0.05044439106413644,0.8945437765723531,0.22314355131420985,False,True,False
10123C,3.102560975609757,0.0,254.41000000000005,4.038253968253968,8.617652971845041,2.7775934267178695,22.265476985967528,0.573170731707317,7.306451612903226,12,0.40183168900593524,0.1883573758893125,12,0.17319331765765955,-0.11602714380557468,-3.4793579773933274,0.7906349206349206,0.3089361193801316,39,0.15217391304347827,5,0.9206349206349206,0.04697508896797153,1.4116114069087682,0.5825702612252962,False,True,False
10123G,2.0190243902439025,0.0,165.56,9.738823529411764,10.365534249183817,5.1339321601417796,33.12986228557622,0.8658536585365854,22.1875,31,0.12913747281952162,0.0,8,0.33578254122959905,-0.004173659407276795,1.3849014332887664,0.8205882352941177,0.5222723258539946,12,0.07692307692307693,2,0.9411764705882353,0.2857635893011216,1.1049337296069077,0.5991596550743891,True,False,False
10124A,0.27658536585365856,0.0,22.68,1.3341176470588236,0.7296121403449599,2.6379274915470328,13.666666666666666,0.8170731707317073,22.75,15,0.20370370370370372,0.20370370370370372,9,0.2037037037037036,0.0010422176510921732,0.10129133405110036,0.42,0.0,17,0.0,1,1.0,0.0,0.244188830397692,0.35065687161316933,False,True,False
10124G,0.13317073170731708,0.0,10.920000000000002,1.3650000000000002,0.44701721470643874,3.3567226745355287,15.769230769230768,0.9024390243902439,43.42857142857143,23,0.26923076923076916,0.15384615384615383,8,0.15384615384615385,0.00044797074476768807,-0.7405148693828344,0.47250000000000003,0.14849242404917498,7,0.0,1,1.0,0.0,0.12501966063795528,0.3869616365436047,True,False,False
10125,14.581951219512195,4.675,1195.72,8.18986301369863,17.925859480678962,1.229318299782286,5.8291238751547185,0.32926829268292684,3.503448275862069,5,0.35153714916535644,0.3066855116582477,3,0.11137964389249655,0.05291997257321973,0.46859449816130727,0.93486301369863,0.3246286712673204,76,0.24752475247524752,5,0.9246575342465754,0.0,2.7461132713372276,0.6600365300215385,False,False,True
10133,17.614634146341466,9.129999999999999,1444.4,7.765591397849463,21.6738601275237,1.2304462271233336,6.131265577402381,0.23170731707317074,2.654054054054054,2,0.25609249515369703,0.32496538355026305,6,0.10944925688615227,0.040678486302935295,-0.03091093348213203,0.8334946236559139,0.29157196037864613,111,0.22916666666666666,7,0.956989247311828,0.005850368229059123,2.9239480534297693,0.6062237762401961,False,False,True
10134,8.794268292682927,0.0,721.13,13.354259259259258,28.39287247677991,3.22856564433036,24.10661045858583,0.6463414634146342,6.037735849056604,32,0.19077004146270435,0.4898700650368172,1,0.1802665655135395,-0.3374964356069264,-1.520164325185175,1.2907407407407407,0.25000265547157124,44,0.12,4,0.9259259259259259,0.01703856167277783,2.281797346480886,0.8288752328341679,False,True,False
10135,44.53012195121951,24.355,3651.4700000000003,13.99030651340996,96.17216788288381,2.1597104087933006,17.841855471905834,0.13414634146341464,1.7884615384615385,1,0.26221768219374664,0.5530786231298628,2,0.17737122783056206,-0.33589088059555294,-2.17613795009276,1.3518007662835247,0.5183630063064906,151,0.22959183673469388,5,0.9693486590038314,0.003411599985807744,3.818374127823655,0.8551813182356501,False,False,True
